customer_id,signup_date,plan,monthly_price,tenure_months,support_tickets,last_login_days_ago,churned
C001,2025-01-05,Basic,19,14,1,3,0
C002,2025-02-12,Pro,49,13,4,25,1
C003,2025-03-18,Basic,19,12,0,2,0
C004,2025-04-02,Enterprise,99,11,6,30,1
C005,2025-04-15,Pro,49,11,2,5,0
C006,2025-05-20,Basic,19,10,3,18,1
C007,2025-06-01,Pro,49,9,1,4,0
C008,2025-06-17,Enterprise,99,9,5,20,1
C009,2025-07-03,Basic,19,8,0,1,0
C010,2025-07-22,Pro,49,8,3,15,1
C011,2025-08-05,Basic,19,7,1,6,0
C012,2025-08-19,Enterprise,99,7,7,32,1
C013,2025-09-02,Pro,49,6,0,2,0
C014,2025-09-16,Basic,19,6,2,12,1
C015,2025-10-01,Enterprise,99,5,3,7,0
C016,2025-10-14,Pro,49,5,2,10,0
C017,2025-11-03,Basic,19,4,4,22,1
C018,2025-11-21,Pro,49,4,1,3,0
C019,2025-12-04,Enterprise,99,3,6,28,1
C020,2025-12-18,Basic,19,3,0,2,0
